"regulation_statement","validation_task","reg_id","reg_text","stmt_id","stmt_text","reg_subject","reg_action","task_id","task_description","task_subject","task_action","maping_id","subject_score","action_score","matched",
"Eudralex_5.61_1: 
Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","ReinforcingTask_101: 
(hasPatient =  Drying_D101)
 (hasAction =  ReinforcingIndividual101)","Eudralex_5.61","Rejected materials and products should be clearly marked as such and stored separately in restricted areas. They should either be returned to the suppliers or, where appropriate, reprocessed or destroyed. Whatever action is taken should be approved and recorded by authorised personnel.","Eudralex_5.61_1","Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","products,named","marked","ReinforcingTask_101","(hasPatient =  Drying_D101)
 (hasAction =  ReinforcingIndividual101)","drying,d,operation","reinforcing","mid_47","0.493","0.425","false",
"Eudralex_5.3_1: 
All incoming materials should be checked to ensure that the consignment corresponds to the order.","ReinforcingTask_101: 
(hasPatient =  Drying_D101)
 (hasAction =  ReinforcingIndividual101)","Eudralex_5.3","All incoming materials should be checked to ensure that the consignment corresponds to the order. Containers should be cleaned where necessary and labelled with the prescribed data.","Eudralex_5.3_1","All incoming materials should be checked to ensure that the consignment corresponds to the order.","incoming,materials","checked,named","ReinforcingTask_101","(hasPatient =  Drying_D101)
 (hasAction =  ReinforcingIndividual101)","drying,d,operation","reinforcing","mid_48","0.49","0.343","false",
"Eudralex_5.39_1: 
Any significant deviation from the expected yield should be recorded and investigate","LablelDisplayTask101: 
(hasPatient =  AspirinPakageName)
 (hasAction =  DisplayingIndividual101)","Eudralex_5.39","Any significant deviation from the expected yield should be recorded and investigated","Eudralex_5.39_1","Any significant deviation from the expected yield should be recorded and investigate","significant,deviation,yield","recorded","LablelDisplayTask101","(hasPatient =  AspirinPakageName)
 (hasAction =  DisplayingIndividual101)","aspirin,pakage,name,material,label","displaying","mid_49","0.482","0.297","false",
"Eudralex_5.27_1: 
For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","LablelDisplayTask101: 
(hasPatient =  AspirinPakageName)
 (hasAction =  DisplayingIndividual101)","Eudralex_5.27","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","Eudralex_5.27_1","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","containers,delivery","checked,named","LablelDisplayTask101","(hasPatient =  AspirinPakageName)
 (hasAction =  DisplayingIndividual101)","aspirin,pakage,name,material,label","displaying","mid_50","0.482","0.283","false",
"Eudralex_5.27_1: 
For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","AllowingTask_101: 
(hasPatient =  MaterialTestingProcedure)
 (hasAction =  AllowingIndividual101)","Eudralex_5.27","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","Eudralex_5.27_1","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","containers,delivery","checked,named","AllowingTask_101","(hasPatient =  MaterialTestingProcedure)
 (hasAction =  AllowingIndividual101)","material,testing,procedure,written","allowing","mid_51","0.482","0.423","false",
"Eudralex_5.27_1: 
For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","ReturningTask_101: 
(hasPatient =  Salicylic_Acid)
 (hasAction =  ReturningIndividual101)","Eudralex_5.27","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","Eudralex_5.27_1","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","containers,delivery","checked,named","ReturningTask_101","(hasPatient =  Salicylic_Acid)
 (hasAction =  ReturningIndividual101)","salicylic,acid,starting,material,substance","returning","mid_52","0.482","0.799","false",
"Eudralex_5.61_1: 
Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","IdentifyingTask_101: 
(hasPatient =  DelayingProcedure)
 (hasAction =  IdentifingIndividual101)","Eudralex_5.61","Rejected materials and products should be clearly marked as such and stored separately in restricted areas. They should either be returned to the suppliers or, where appropriate, reprocessed or destroyed. Whatever action is taken should be approved and recorded by authorised personnel.","Eudralex_5.61_1","Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","products,named","marked","IdentifyingTask_101","(hasPatient =  DelayingProcedure)
 (hasAction =  IdentifingIndividual101)","delaying,procedure,standard,operating,written","identifing,identifying","mid_53","0.482","0.421","false",
"Eudralex_5.27_1: 
For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","IdentifyingTask_101: 
(hasPatient =  DelayingProcedure)
 (hasAction =  IdentifingIndividual101)","Eudralex_5.27","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","Eudralex_5.27_1","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","containers,delivery","checked,named","IdentifyingTask_101","(hasPatient =  DelayingProcedure)
 (hasAction =  IdentifingIndividual101)","delaying,procedure,standard,operating,written","identifing,identifying","mid_54","0.47","1.0","false",
"Eudralex_5.61_1: 
Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","TankCleanTask101: 
(hasPatient =  Tank102)
 (hasAction =  CleaningIndividual101)","Eudralex_5.61","Rejected materials and products should be clearly marked as such and stored separately in restricted areas. They should either be returned to the suppliers or, where appropriate, reprocessed or destroyed. Whatever action is taken should be approved and recorded by authorised personnel.","Eudralex_5.61_1","Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","products,named","marked","TankCleanTask101","(hasPatient =  Tank102)
 (hasAction =  CleaningIndividual101)","tank,storage,equipment","cleaning","mid_55","0.456","0.589","false",
"Eudralex_5.46_1: 
The name and batch number of the product being handled should be displayed at each packaging station or line.","DeviationRecordTask101: 
(hasPatient =  deviation)
 (hasAction =  RecordingIndividual101)","Eudralex_5.46","The name and batch number of the product being handled should be displayed at each packaging station or line.","Eudralex_5.46_1","The name and batch number of the product being handled should be displayed at each packaging station or line.","name,product,batch,number","displayed","DeviationRecordTask101","(hasPatient =  deviation)
 (hasAction =  RecordingIndividual101)","deviation,iregular,incidence","recording","mid_56","0.439","0.297","false",
"Eudralex_5.46_1: 
The name and batch number of the product being handled should be displayed at each packaging station or line.","ReportingTask_101: 
(hasPatient =  deviation)
 (hasAction =  ReportingIndividual101)","Eudralex_5.46","The name and batch number of the product being handled should be displayed at each packaging station or line.","Eudralex_5.46_1","The name and batch number of the product being handled should be displayed at each packaging station or line.","name,product,batch,number","displayed","ReportingTask_101","(hasPatient =  deviation)
 (hasAction =  ReportingIndividual101)","deviation,iregular,incidence","reporting","mid_57","0.439","0.275","false",
"Eudralex_5.61_1: 
Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","DeviationRecordTask101: 
(hasPatient =  deviation)
 (hasAction =  RecordingIndividual101)","Eudralex_5.61","Rejected materials and products should be clearly marked as such and stored separately in restricted areas. They should either be returned to the suppliers or, where appropriate, reprocessed or destroyed. Whatever action is taken should be approved and recorded by authorised personnel.","Eudralex_5.61_1","Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","products,named","marked","DeviationRecordTask101","(hasPatient =  deviation)
 (hasAction =  RecordingIndividual101)","deviation,iregular,incidence","recording","mid_58","0.439","0.773","false",
"Eudralex_5.61_1: 
Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","ReportingTask_101: 
(hasPatient =  deviation)
 (hasAction =  ReportingIndividual101)","Eudralex_5.61","Rejected materials and products should be clearly marked as such and stored separately in restricted areas. They should either be returned to the suppliers or, where appropriate, reprocessed or destroyed. Whatever action is taken should be approved and recorded by authorised personnel.","Eudralex_5.61_1","Rejected materials and products should be clearly marked as such and stored separately in restricted areas.","products,named","marked","ReportingTask_101","(hasPatient =  deviation)
 (hasAction =  ReportingIndividual101)","deviation,iregular,incidence","reporting","mid_59","0.439","0.47","false",
"Eudralex_5.22_1: 
When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing.","TankInvestigationTask101: 
(hasPatient =  Tank101)
 (hasAction =  InvestigatingIndividual101)","Eudralex_5.22","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing. The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","Eudralex_5.22_1","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing.","steps,preparation,method,new,manufacturing,formula","taken,named","TankInvestigationTask101","(hasPatient =  Tank101)
 (hasAction =  InvestigatingIndividual101)","tank,storage,equipment","investigating","mid_60","0.429","0.721","false",
"Eudralex_5.22_1: 
When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing.","DeviationRecordTask101: 
(hasPatient =  deviation)
 (hasAction =  RecordingIndividual101)","Eudralex_5.22","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing. The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","Eudralex_5.22_1","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing.","steps,preparation,method,new,manufacturing,formula","taken,named","DeviationRecordTask101","(hasPatient =  deviation)
 (hasAction =  RecordingIndividual101)","deviation,iregular,incidence","recording","mid_61","0.42","0.827","false",
"Eudralex_5.22_1: 
When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing.","ReportingTask_101: 
(hasPatient =  deviation)
 (hasAction =  ReportingIndividual101)","Eudralex_5.22","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing. The defined process, using the materials and equipment specified, should be shown to yield a product consistently of the required quality.","Eudralex_5.22_1","When any new manufacturing formula or method of preparation is adopted, steps should be taken to demonstrate its suitability for routine processing.","steps,preparation,method,new,manufacturing,formula","taken,named","ReportingTask_101","(hasPatient =  deviation)
 (hasAction =  ReportingIndividual101)","deviation,iregular,incidence","reporting","mid_62","0.42","0.384","false",
"Eudralex_5.3_1: 
All incoming materials should be checked to ensure that the consignment corresponds to the order.","IdentifyingTask_101: 
(hasPatient =  DelayingProcedure)
 (hasAction =  IdentifingIndividual101)","Eudralex_5.3","All incoming materials should be checked to ensure that the consignment corresponds to the order. Containers should be cleaned where necessary and labelled with the prescribed data.","Eudralex_5.3_1","All incoming materials should be checked to ensure that the consignment corresponds to the order.","incoming,materials","checked,named","IdentifyingTask_101","(hasPatient =  DelayingProcedure)
 (hasAction =  IdentifingIndividual101)","delaying,procedure,standard,operating,written","identifing,identifying","mid_63","0.374","1.0","false",
"Eudralex_5.3_1: 
All incoming materials should be checked to ensure that the consignment corresponds to the order.","RestrictingTask_101: 
(hasPatient =  Washing_Ce101)
 (hasAction =  RectrictingIndividual101)","Eudralex_5.3","All incoming materials should be checked to ensure that the consignment corresponds to the order. Containers should be cleaned where necessary and labelled with the prescribed data.","Eudralex_5.3_1","All incoming materials should be checked to ensure that the consignment corresponds to the order.","incoming,materials","checked,named","RestrictingTask_101","(hasPatient =  Washing_Ce101)
 (hasAction =  RectrictingIndividual101)","washing,ce,operation","rectricting,restricting","mid_64","0.365","0.917","false",
"Eudralex_5.3_1: 
All incoming materials should be checked to ensure that the consignment corresponds to the order.","DeviationRecordTask101: 
(hasPatient =  deviation)
 (hasAction =  RecordingIndividual101)","Eudralex_5.3","All incoming materials should be checked to ensure that the consignment corresponds to the order. Containers should be cleaned where necessary and labelled with the prescribed data.","Eudralex_5.3_1","All incoming materials should be checked to ensure that the consignment corresponds to the order.","incoming,materials","checked,named","DeviationRecordTask101","(hasPatient =  deviation)
 (hasAction =  RecordingIndividual101)","deviation,iregular,incidence","recording","mid_65","0.36","0.42","false",
"Eudralex_5.3_1: 
All incoming materials should be checked to ensure that the consignment corresponds to the order.","ReportingTask_101: 
(hasPatient =  deviation)
 (hasAction =  ReportingIndividual101)","Eudralex_5.3","All incoming materials should be checked to ensure that the consignment corresponds to the order. Containers should be cleaned where necessary and labelled with the prescribed data.","Eudralex_5.3_1","All incoming materials should be checked to ensure that the consignment corresponds to the order.","incoming,materials","checked,named","ReportingTask_101","(hasPatient =  deviation)
 (hasAction =  ReportingIndividual101)","deviation,iregular,incidence","reporting","mid_66","0.36","0.384","false",
"Eudralex_5.39_1: 
Any significant deviation from the expected yield should be recorded and investigate","ReinforcingTask_101: 
(hasPatient =  Drying_D101)
 (hasAction =  ReinforcingIndividual101)","Eudralex_5.39","Any significant deviation from the expected yield should be recorded and investigated","Eudralex_5.39_1","Any significant deviation from the expected yield should be recorded and investigate","significant,deviation,yield","recorded","ReinforcingTask_101","(hasPatient =  Drying_D101)
 (hasAction =  ReinforcingIndividual101)","drying,d,operation","reinforcing","mid_67","0.346","0.499","false",
"Eudralex_5.27_1: 
For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","ReinforcingTask_101: 
(hasPatient =  Drying_D101)
 (hasAction =  ReinforcingIndividual101)","Eudralex_5.27","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","Eudralex_5.27_1","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","containers,delivery","checked,named","ReinforcingTask_101","(hasPatient =  Drying_D101)
 (hasAction =  ReinforcingIndividual101)","drying,d,operation","reinforcing","mid_68","0.341","0.343","false",
"Eudralex_5.27_1: 
For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","RestrictingTask_101: 
(hasPatient =  Washing_Ce101)
 (hasAction =  RectrictingIndividual101)","Eudralex_5.27","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","Eudralex_5.27_1","For each delivery, the containers should be checked for integrity of package and seal and for correspondence between the delivery note and the supplier�s labels.","containers,delivery","checked,named","RestrictingTask_101","(hasPatient =  Washing_Ce101)
 (hasAction =  RectrictingIndividual101)","washing,ce,operation","rectricting,restricting","mid_69","0.329","0.917","false",
